ranking,world_rank,universities,website,presence_rank,impact_rank,openness_rank,excellence_rank,motto,established,type,chancellor,vice_chancellor,students,undergraduates,postgraduates,academic_staff,administrative_staff,city,state,campus
80,11277,Federal Polytechnic Ilaro,https://federalpolyilaro.edu.ng/,17113,13799,5122,6084,,2002,"Private, Non-profit",,Enase Okonedo,,,,,,[[Lekki]],[[Lagos State]],[[Metropolitan area|Metropolitan]]<br />Ibeju-Lekki Campus ( {{Convert|100|ha|acre}} <br />Ajah Campus ( {{Convert|10|ha|acre}}
81,11304,Pan African University Lagos,http://www.pau.edu.ng/,16923,11661,6566,6084,"''Scentia Probitas'', Knowledge with Probity",2005,,Dr. Tunde Afolabi (MFR),Professor Timothy A. Adebayo,,,,,,"[[Oyo, Oyo State|Oyo]]",[[Oyo State]],
82,11543,Ajayi Crowther University Oyo,https://www.acu.edu.ng/,13956,12701,6338,6084,"Education, Excellence And Character",2011,[[Private University|Private]],[[Joseph Ola]],[[S. E. Alao]],,,,,,"[[Ede, Osun|Ede]]",[[Osun State]],{{convert|520|acre|km2}}
83,11611,Adeleke University Ede,http://adelekeuniversity.edu.ng/,21989,13230,5563,6084,,2011,[[Public university|Public]],,[[Jude Rabo]],,,,,,[[Wukari]],,Urban
84,11620,Federal University Wukari Taraba State,http://fuwukari.edu.ng/,17064,15448,4157,6084,Knowledge for Self-reliance,2005,Private,Gabriel Babatunde Ogunmola,Kabiru Aderemi Adeyemo,,,,,,[[Ibadan]],[[Oyo State|Oyo]],Urban
85,11631,Lead City University Ibadan,https://www.lcu.edu.ng/,19301,12893,5973,6084,"''Integrity, Innovation and Excellence''",2010,[[Public university|Public]],,Shehu Abdulrahaman,,,,,,[[Lafia]],,
86,11711,Federal University Lafia Nasarawa State,http://www.fulafia.edu.ng/,16152,14580,5047,6084,,"February, 2002",Private,Archbishop Margaret Benson Idahosa OON,Prof. Sam Guobadia FCIA,,,,,,"[[Benin, Nigeria|Benin]]",[[Edo State]],"Ugbor Campus, Benin, Nigeria
                              Legacy Campus, Okha, Benin, Nigeria"
87,11830,Benson Idahosa University,http://www.biu.edu.ng/,15175,13936,5716,6084,,,,,,,,,,,,,
88,11999,Al Hikmah University Ilorin,https://www.alhikmah.edu.ng/,13772,14071,5851,6084,Ilimi Tushen Cigaba,2011,Public,,Auwalu Uba,"21,180",,,,,"[[Gadau]], with other campuses in [[Misau]], and [[Bauchi]]",[[Bauchi State]],
89,12379,Bauchi State University Gadau,https://basug.edu.ng/,29007,12890,5306,6084,,,,,,,,,,,,,
90,12631,Kebbi State University Kebbi,http://www.ksusta.edu.ng/,26264,16807,7356,5022,,2004,[[Private school|Private]],[[Isaac Adeyemi]],[[Prof. Jeremiah Ó. Ojediran]],"<1,999",,,,37,"[[Ota, Ogun|Ota]]",[[Ogun State|Ogun]],[[Urban area|Urban]]
91,12767,Bells University of Technology Otta,http://www.bellsuniversity.edu.ng/,22717,14944,5369,6084,"Learn, Work and Worship",2000,,,Prof Shehu Alh. Musa 2014 – present,,,,,,[[Wudil]],[[Kano State]],
92,12891,Kano University of Science & Technology Wudil,https://kustwudil.edu.ng/,22013,14701,5699,6084,,2005,[[Private school|Private]],,Professor William Barnabas Qurix,,,,,,"[[Karu, Nasarawa State|Karu]]",[[Nasarawa State]],[[Urban area|Urban]]
93,13091,Bingham University New Karu,http://binghamuni.edu.ng/,21440,13670,6516,6084,Mission and Professionalism,{{start date|1977}},[[Public university|Public]],,Oluremi Nurudeen Olaleye,"50,000",,,Above 808,,"[[Ikorodu, Lagos State]]",,"[[Ikorodu]], [[Isolo]], [[Surulere]]"
94,13163,Federal Polytechnic Bauchi,http://fptb.edu.ng/,12202,11881,7356,6084,Knowledge Is Light,2006,Public,Ahmed Tijjani Ibn Saleh (Emir of Ngazargamu),Professor Mala Mohammed Daura,,"10,000",2400,,1300,[[Damaturu]],[[Yobe State]],
95,13713,Lagos State Polytechnic,http://www.mylaspotech.edu.ng/,24372,13956,6605,6084,,2008,,,,,,,,,[[Jalingo]],[[Taraba State]],
96,14054,Yobe State University (Bukar Abba Ibrahim University Damaturu),https://www.ysu.edu.ng/,17040,15459,6490,6084,,,,,,,,,,,,,
97,14091,Taraba State University Jalingo,http://www.tsuniversity.edu.ng/,18418,14883,6690,6084,"Character, Competence, Courage",September 2014,Private,[[William Kumuyi]],[[Joseph Afolayan]],,,,,,"[[Ayobo, Lagos|Ayobo-Ipaja]]",[[Lagos State]],
98,14110,Ondo State University of Science & Technology Okitipupa,http://www.osustech.edu.ng/,23528,12868,7168,6084,,{{start date and age|2013}},Public,,Professor [[Auwal H Yadudu]],,,,,,"[[Birnin Kebbi]], [[Kebbi State]]",,Urban
99,14347,Anchor University Lagos,https://aul.edu.ng/,9304,17841,5779,6084,,,,,,,,,,,,,
100,14446,Federal University Birnin Kebbi,http://www.fubk.edu.ng/,26140,15000,6456,6084,,,,,,,,,,,,,
